[2025-11-19 13:49:13] [FAIL] 600306.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600306.csv
[2025-11-19 13:49:13] [FAIL] 600311.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600311.csv
[2025-11-19 13:49:13] [FAIL] 600321.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600321.csv
[2025-11-19 13:49:14] [FAIL] 002280.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002280.csv
[2025-11-19 13:49:15] [FAIL] 002308.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002308.csv
[2025-11-19 13:49:15] [FAIL] 300262.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300262.csv
[2025-11-19 13:49:15] [FAIL] 002621.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002621.csv
[2025-11-19 13:49:17] [FAIL] 000023.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000023.csv
[2025-11-19 13:49:18] [FAIL] 000038.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000038.csv
[2025-11-19 13:49:18] [FAIL] 000046.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000046.csv
[2025-11-19 13:49:20] [FAIL] 600393.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600393.csv
[2025-11-19 13:49:21] [FAIL] 688555.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\688555.csv
[2025-11-19 13:49:22] [FAIL] 002325.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002325.csv
